City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,zhangjiakou,40.81,114.8794,10.84,61,100,1.24,CN,1728431151
1,west island,-12.1568,96.8225,25.99,83,75,6.69,CC,1728431120
2,iqaluit,63.7506,-68.5145,1.85,93,100,4.12,CA,1728431155
3,port-aux-francais,-49.35,70.2167,1.54,73,99,5.85,TF,1728431156
4,niafunke,15.9322,-3.9906,30.83,49,83,5.41,ML,1728431157
5,bredasdorp,-34.5322,20.0403,14.27,99,31,2.32,ZA,1728431159
6,adamstown,-25.066,-130.1015,20.22,60,67,4.18,PN,1728431160
7,edinburgh of the seven seas,-37.0676,-12.3116,12.82,84,40,17.69,SH,1728431162
8,albany,42.6001,-73.9662,12.41,65,69,2.14,US,1728431163
9,mahina,-17.5065,-149.489,27.87,65,40,2.06,PF,1728431164
10,minas de marcona,-15.2119,-75.1103,12.93,89,76,6.12,PE,1728431165
11,susuman,62.7833,148.1667,-11.25,84,50,0.87,RU,1728431166
12,udachny,66.4167,112.4,-3.89,96,100,2.85,RU,1728431167
13,kachug,53.9606,105.8817,-0.69,70,97,4.25,RU,1728431168
14,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,87,75,5.0,RU,1728431170
15,bethel,41.3712,-73.414,13.52,71,0,1.54,US,1728431146
16,kharan,28.5833,65.4167,24.52,24,2,3.25,PK,1728431173
17,grytviken,-54.2811,-36.5092,-6.05,80,16,5.01,GS,1728431175
18,cowra,-33.8333,148.6833,19.56,38,0,3.38,AU,1728431176
19,dudinka,69.4058,86.1778,-9.76,90,100,7.2,RU,1728431177
20,hithadhoo,-0.6,73.0833,26.96,82,100,11.45,MV,1728431178
21,iskateley,67.6803,53.1512,-0.99,87,30,2.43,RU,1728431180
22,visakhapatnam,17.69,83.2093,25.78,85,79,1.73,IN,1728431182
23,rio gallegos,-51.6226,-69.2181,13.03,50,0,2.06,AR,1728430945
24,vorkuta,67.5,64.0,-6.4,94,76,4.89,RU,1728431184
25,borba,-4.3878,-59.5939,25.62,80,92,0.71,BR,1728431185
26,batken,39.8333,71.0,7.66,67,26,0.82,KG,1728431187
27,bamboo flat,11.7,92.7167,26.05,100,40,1.03,IN,1728431188
28,whitehorse,60.7161,-135.0538,4.5,76,100,0.0,CA,1728430963
29,fortuna,40.5982,-124.1573,17.97,87,0,6.17,US,1728431190
30,jamestown,42.097,-79.2353,11.8,58,75,3.6,US,1728431016
31,essaouira,31.5125,-9.77,19.72,94,0,1.03,MA,1728431192
32,hamilton,39.1834,-84.5333,17.16,54,0,0.45,US,1728431194
33,college,64.8569,-147.8028,2.82,74,100,0.0,US,1728431196
34,ushuaia,-54.8,-68.3,10.81,58,20,2.06,AR,1728431197
35,manacapuru,-3.2997,-60.6206,29.19,64,89,1.52,BR,1728431198
36,huadian,42.9633,126.7478,10.03,65,0,2.13,CN,1728431200
37,anadyr,64.75,177.4833,-1.72,92,100,7.0,RU,1728431201
38,kushiro,42.975,144.3747,11.53,87,75,2.06,JP,1728431202
39,stanley,54.868,-1.6985,11.4,97,100,3.6,GB,1728430965
40,port lincoln,-34.7333,135.8667,16.24,56,0,8.14,AU,1728431205
41,georgetown,5.4112,100.3354,25.97,89,20,1.54,MY,1728431206
42,labrador city,52.9463,-66.9114,4.95,87,100,7.15,CA,1728431207
43,barra de santo antonio,-9.4047,-35.5072,24.41,80,1,5.5,BR,1728431209
44,chibougamau,49.9168,-74.3659,2.79,93,100,1.03,CA,1728431210
45,praia da vitoria,38.7333,-27.0667,21.14,78,40,5.92,PT,1728431211
46,invercargill,-46.4,168.35,7.79,89,100,5.81,NZ,1728431000
47,touros,-5.1989,-35.4608,25.0,78,3,5.49,BR,1728431214
48,narrabri,-30.3167,149.7833,20.85,63,36,2.68,AU,1728431215
49,keelung,25.1283,121.7419,25.03,83,100,4.97,TW,1728431216
50,olonkinbyen,70.9221,-8.7187,0.28,81,12,8.85,SJ,1728431217
51,vigan,17.5747,120.3869,29.4,79,96,1.97,PH,1728431219
52,tura,25.5198,90.2201,22.7,91,42,1.48,IN,1728431220
